id,tvt,title,gid
670475,22384200628427,White Chicks,MV001491660000
100032567,21353189008767,Justice League,MV008489270000
100002888,14954522193685,2012,MV002406530000
100032562,13826131167186,Blue Beetle,MV017709220000
688925,12239843640513,Are We There Yet?,MV001541720000
100032517,11882125305519,Happy Anniversary,MV023876700000
637111,11275226039603,ATL,MV001757050000
100032570,9180208456528,Shazam! Fury of the Gods,MV013604680000
664793,9013582685104,The Sandlot,MV000365980000
552536,8991996308069,White House Down,MV004182350000
100032569,7829214604030,Shazam!,MV010777880000
639792,7646445343438,Love & Basketball,MV000853980000
100032563,7540643379992,Dune,MV012396930000
599600,6853497792011,The Green Mile,MV000822940000
689540,6437823612823,Tombstone,MV002139730000
477962,6312260461777,Set It Off,MV000485190000
517825,6210635234054,King Arthur: Legend of the Sword,MV008331720000
100010623,6170984761333,The Hate U Give,MV011119670000
608618,6117816359174,Training Day,MV001126150000
663467,6022713646382,The Holiday,MV001801350000
348095,5802414579479,Dirty Dancing,MV000224030000
405680,5789727252802,Road House,MV000271480000
100024392,5627173297363,Tempted,MV025046920000
625907,5533103470715,What Happens in Vegas,MV001988280000
639561,5402106812022,The Waterboy,MV000649520000
664937,5306825058892,Just Wright,MV002759720000
647479,5306753803277,Sister Act 2: Back in the Habit,MV000380920000
589003,5094113239404,Little Giants,MV000406560000
608209,5006009176716,Notorious,MV002117450000
100033751,4957259324676,Cellar Door,MV022896890000
100009135,4816191362479,Think Like a Man,MV003752340000
100028262,4807243382525,Sidelined: The QB and Me,MV023007390000
602391,4802376642867,Alien vs. Predator,MV001497230000
100033066,4757479979173,Intrusive,
647460,4756766224361,Predator,MV000225700000
675608,4693140410767,Power Rangers,MV009919390000
655137,4668179892992,Wild Hogs,MV001859120000
595485,4597246035708,Selena,MV000500940000
306927,4593211127648,Dances With Wolves,MV000124690000
100001708,4558530694933,The Nut Job,MV004996750000
100033753,4484832909235,American Underdog,MV013822600000
689536,4441048162136,What's Love Got to Do With It?,MV000368400000
563040,4412867803019,Dead Presidents,MV000436240000
100026700,4212886375329,Think Like a Man Too,MV005317400000
625717,4209261540043,Phat Girlz,MV001752320000
589285,4180851090426,Murder at 1600,MV000502800000
714367,4160482143124,Nothing to Lose,MV000511960000
100013234,4142907136488,Forever Us,MV021092420000
672661,4112606003033,Misery,MV000325270000
640160,4067907746461,Bringing Down the House,MV001330170000
594359,4040799579358,SuperFly,MV010822430000
611323,3994785628537,Mr. and Mrs. Smith,MV001580630000
600005,3964454999650,What a Girl Wants,MV001342330000
712892,3944944907086,Hope Floats,MV000587630000
567409,3892244428536,Enough,MV001165590000
688271,3891187070584,The Replacements,MV000951020000
100002304,3888068290834,Invincible,MV001789990000
300460,3803292688385,Overboard (1987),MV000241960000
100032304,3749996425600,Passengers,MV008967400000
643405,3739471048549,Sister Act,MV000351060000
100032075,3660851747900,Prey,MV017546920000
100032659,3655045880289,Hot Pursuit,MV007058340000
659389,3566268729825,Drumline,MV001184690000
100032640,3492901005240,The Boogeyman,MV019848440000
642475,3488883701053,Open Range,MV001387760000
100028456,3357944436414,Max,MV006404640000
100011586,3248737180638,The Thicket,MV022449320000
100034547,3215476022731,TMZ Presents: Saving Wendy,SH055870030000
100009137,3195687564400,Anger Management,MV001332350000
655363,3162943391842,We Bought a Zoo,MV003672920000
301815,3147839134141,The Terminator,MV000160240000
100032523,3078725307436,The System,MV018985470000
100033269,3061555083811,Nothing but Trouble,MV000329080000
100034380,3036838713800,Shotgun Wedding,MV017835950000
100013182,3029391762403,The Punisher,MV001476260000
603322,3019732393193,Waiting to Exhale,MV000443140000
633192,2978492945571,While You Were Sleeping,MV000421160000
100027582,2953246257423,Cheaper by the Dozen,MV017546660000
100029342,2888774363882,Boneyard,MV021979190000
